,Priority,RaisedByID,AssignedToID,AuthorisedByID,HoursEstimate,HoursActual,StatusCode_AUTHORISE,StatusCode_CANCELLED,StatusCode_CHRONICLE,StatusCode_COMPLETED,StatusCode_ESTIMATED,StatusCode_FINISHED,StatusCode_RELEASED,StatusCode_TEMPLATE,ProjectCode_PC1,ProjectCode_PC10,ProjectCode_PC11,ProjectCode_PC12,ProjectCode_PC13,ProjectCode_PC14,ProjectCode_PC15,ProjectCode_PC16,ProjectCode_PC17,ProjectCode_PC18,ProjectCode_PC19,ProjectCode_PC2,ProjectCode_PC20,ProjectCode_PC3,ProjectCode_PC4,ProjectCode_PC5,ProjectCode_PC6,ProjectCode_PC7,ProjectCode_PC8,ProjectCode_PC9,Category_Development,Category_Management,Category_Operational,SubCategory_Board Meeting,SubCategory_Bug,SubCategory_Business Specification,SubCategory_Client Support,SubCategory_Consultancy,SubCategory_Conversion,SubCategory_Documentation,SubCategory_Enhancement,SubCategory_General Documentation,SubCategory_In House Support,SubCategory_Management Meeting,SubCategory_Marketing,SubCategory_Office Management,SubCategory_Progress Meeting,SubCategory_Project Management,SubCategory_Release,SubCategory_Research,SubCategory_Staff Management,SubCategory_Staff Recruitment,SubCategory_Support,SubCategory_Technical Specification,SubCategory_Testing,SubCategory_Third Party,SubCategory_Training
71,3,16,42,6.0,14.0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5,16,42,6.0,14.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,16,42,6.0,14.0,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,58,58,6.0,7.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,58,42,6.0,14.0,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,29,58,6.0,35.0,42.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,29,58,6.0,35.0,21.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,16,58,6.0,3.5,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,37,58,6.0,7.0,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5,58,58,6.0,14.0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
